Match Id,Time,MMR
4256277011,1544034048,6810
4256305117,1544035456,7216
4256303685,1544035328,7155
4256306039,1544035456,7074
4256310052,1544035712,7040
4256318236,1544036352,7192
4256314122,1544036352,6982
4256331889,1544036864,7365
4256292755,1544036352,6814
4256341672,1544037376,7044
4256342238,1544037376,7008
4256337556,1544037120,6967
4256341812,1544037376,6925
4256355066,1544038016,7027
4256350044,1544037760,6995
4256348641,1544037632,6989
4256345237,1544037504,6906
4256351781,1544037888,6873
4256376053,1544039168,7560
4256368275,1544038784,6982
4256376345,1544039296,7006
4256369205,1544038784,6844
4256368619,1544038784,6829
4256378681,1544039424,7009
4256386131,1544039808,6999
4256386224,1544039808,6844
4256406852,1544041088,6863
4256370017,1544038912,6804
4256388231,1544039936,6734
4256394043,1544040320,6691
4256414000,1544041472,7424
4256416204,1544041600,7176
4256416062,1544041600,7085
4256408466,1544041216,6867
4256424538,1544042112,6916
4256413611,1544041472,6807
4256420728,1544041984,6806
4256426131,1544042240,6746
4256420303,1544041856,6725
4256427106,1544042368,7043
4256431517,1544042624,7012
4256442387,1544043392,7138
4256438934,1544043136,6981
4256444021,1544043520,7017
4256437158,1544043008,6903
4256452679,1544044032,7294
4256452885,1544044032,6879
4256461335,1544044672,6936
4256454639,1544044160,6810
4256430401,1544042496,6783
4256470676,1544045312,7125
4256462443,1544044800,6896
4256467267,1544045056,6805
4256463852,1544044928,6794
4256472357,1544045440,7202
4256474144,1544045696,7029
4256477978,1544045952,6902
4256484286,1544046464,7323
4256481575,1544046208,6975
4256488162,1544046720,7102
4256492324,1544047104,6986
4256487466,1544046720,6837
4256494517,1544047232,6903
4256499840,1544047744,6750
4256501940,1544047872,7115
4256506329,1544048256,7144
4256504130,1544048000,7130
4256506747,1544048256,6947
4256512337,1544048768,7117
4256511671,1544048640,6917
4256516157,1544049024,7001
4256519853,1544049408,7004
4256518373,1544049280,6983
4256525191,1544049920,6872
4256523006,1544049920,6746
4256530154,1544050176,7038
4256533270,1544050432,6805
4256533543,1544050432,6777
4256517985,1544049920,6709
4256535012,1544050560,6706
4256538640,1544050944,7049
4256538163,1544050816,7050
4256538232,1544050816,7042
4256539424,1544050944,6925
4256542979,1544051328,6958
4256546855,1544051712,6903
4256548591,1544051840,6775
4256550216,1544052096,7046
4256549240,1544052096,6988
4256560591,1544052864,6819
4256555322,1544054144,5906
4256541602,1544054144,5852
4256539254,1544054144,5764
4256547044,1544054144,5733
4256546100,1544054144,5666
4256558147,1544054144,5514
4256554664,1544054144,5301
4256562158,1544054144,5256
4256534884,1544054144,4912
4256540385,1544054144,4721
4256565024,1544054144,7007
4256571896,1544054656,7071
4256571538,1544054656,7051
4256564620,1544054144,6912
4256571994,1544054656,6933
4256559116,1544054144,6754
4256572018,1544054656,6698
4256562716,1544054144,6536
4256579619,1544055040,7059
4256578947,1544054912,6769
4256576548,1544054784,6706
4256587416,1544055680,7200
4256586460,1544055680,6951
4256592928,1544056576,6871
4256593403,1544056576,6826
4256605559,1544057344,7168
4256604525,1544057344,7044
4256602524,1544057344,6862
4256609887,1544057472,7299
4256614511,1544057856,7157
4256612196,1544057728,6863
4256618634,1544058240,6836
4256619801,1544058368,6766
4256610600,1544057600,6718
4256617528,1544058112,6724
4256624347,1544058752,6840
4256628306,1544059136,6766
4256628225,1544059136,6682
4256629062,1544059264,6968
4256634691,1544059776,6690
4256636772,1544059904,6981
4256640814,1544060288,6764
4256637835,1544060032,6714
4256641771,1544060416,7066
4256643417,1544060544,6887
4256644814,1544060672,6778
4256648617,1544061056,6934
4256650385,1544061184,6695
4256648114,1544060928,6673
4256661008,1544062080,6971
4256656013,1544061696,6829
4256655669,1544061696,6823
4256660086,1544062080,6764
4256664894,1544062464,6725
4256657816,1544061824,6662
4256669006,1544062848,6939
4256668930,1544062848,6873
4256672047,1544063104,6643
4256667717,1544062720,6619
4256681602,1544063872,7107
4256676444,1544063488,6821
4256678851,1544063616,6749
4256682274,1544063872,6747
4256678900,1544063616,6680
4256685991,1544064256,7026
4256687236,1544064384,6868
4256689751,1544064512,6832
4256690452,1544064640,7267
4256697527,1544065152,7252
4256696286,1544065024,7180
4256700048,1544065408,6850
4256692521,1544064768,6751
4256711320,1544066304,7322
4256707423,1544066048,7006
4256710432,1544066176,6866
4256697102,1544065152,6695
4256713438,1544066432,6925
4256718476,1544066944,6755
4256715022,1544066560,6738
4256713619,1544066432,6722
4256724169,1544067328,6960
4256720867,1544067072,6868
4256728392,1544067712,6917
4256732553,1544067968,6838
4256741994,1544068736,7134
4256738776,1544068480,6955
4256750911,1544069376,7047
4256750118,1544069376,7042
4256744511,1544068992,6898
4256750496,1544069376,6702
4256755191,1544069760,6865
4256751562,1544069504,6845
4256762835,1544070272,6790
4256760081,1544070144,6782
4256763676,1544070400,6758
4256766689,1544070656,6977
4256771773,1544071040,6931
4256773488,1544071168,6932
4256776506,1544071296,7346
4256782131,1544071680,7059
4256778478,1544071424,6814
4256789351,1544072192,7041
4256790534,1544072320,6819
4256798358,1544072832,6920
4256795522,1544072704,6910
4256795831,1544072704,6864
4256808034,1544073600,7400
4256806029,1544073472,7212
4256802825,1544073216,7132
4256805347,1544073344,6823
4256811842,1544073856,6896
4256803969,1544073216,6781
4256817849,1544074240,7349
